structureNumber,intervention
S121 02858,2016,REPAIR
S121 03271,2016,REPLACE
S034 23671,2017,REPAIR
S044 04856,2017,REPAIR
S136 07566,2016,REPAIR
S136 07825,2016,REPAIR
S136 07981,2016,REPAIR
S091 14103,2016,REPLACE
S091 14175,2016,REPAIR
SL56C00174,2017,NEW
SL56C00176,2017,NEW
SL56C00090,2017,REPAIR
SL56C00200,2017,NEW
S080 09700L,2017,REPAIR
S080 09700R,2017,REPAIR
S080 10119L,2017,REPAIR
S080 10119R,2017,REPAIR
S080 10202L,2017,REPAIR
S080 10202R,2017,REPAIR
S092 36736,2016,REPAIR
S092 36868,2016,REPLACE
SL55X00177,2016,REPAIR
S023 11189,2017,REPAIR
S023 11464,2017,REPAIR
S023 11597,2017,REPAIR
S023 11956,2017,REPLACE
S023 12004,2017,REPLACE
S023 12106,2017,REPAIR
S105 00703,2016,REHAB
S080 38814,2017,REPAIR
S103 05579,2017,REHAB
S103 05614,2017,REPAIR
S002 08613,2016,REPLACE
S035 01339,2017,REPAIR
S035 01729,2017,REPAIR
S035 02068,2017,REPAIR
S035 02119,2017,REPAIR
S067 05206,2017,REPLACE
S067 05312,2017,REPLACE
S067 05804,2017,REPAIR
S015 13411,2017,REPLACE
S091 18294,2017,REPLACE
S091 18573,2017,REPLACE
S183 00594,2017,REPAIR
S084 01789,2017,REHAB
S084 02161,2017,REPAIR
S136 14969,2017,REPLACE
S012 20366,2017,REPLACE
S012 20744,2017,REPLACE
SS14H00251,2017,REPAIR
SS14H00363,2017,REPAIR
